X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-115.173012,32.972725,train,8.131294006085716E-4,60.57090425351526,0.8376077841709426
-115.046496,33.041466,train,0.0011730924713740849,68.90261537591624,0.927374109805645
-116.293671,33.257493,train,1.320728631927161E-4,20.401926137163127,0.2556524848490159
-116.291436,33.258267,train,1.4194473886222102E-4,21.698279755755387,0.2718991569552922
-111.477324,33.458999,train,1.2141118645197136E-5,1.6434608688535655,0.02677630568402589
-115.096883,33.001415,train,0.0011370497895284114,68.27032386006323,0.9212802210306942
-115.54107,35.669053,train,1.5795197320386556E-4,24.28342210215879,0.29749284685236277
-115.700602,34.916786,train,2.854733436808719E-4,37.39646137848138,0.4717428843320477
-115.967157,33.215753,train,3.8101071986290945E-4,42.98320462369838,0.573330164128032
-118.32607,34.894683,train,0.0012722146296498499,70.29062973762636,0.941808743845694
-118.379117,34.819505,train,9.708970597050125E-4,64.22641635822079,0.8858712917800275
-117.186646,35.048732,train,2.3749347047616196E-4,33.721255870477165,0.4119326138004529
-118.273015,34.73276,train,0.0013288394644046765,70.93560711772199,0.9487276826776051
-115.132993,33.018206,train,0.0011920834774349293,69.55476038444742,0.930392848618819
-116.469095,35.031667,train,1.9408175740998838E-4,29.45056304596175,0.35200181534442476
-114.97898,36.087131,train,2.3967494638760546E-4,33.940808159997,0.4147934387187775
-117.423011,34.610604,train,4.390201315013962E-4,46.42446094570405,0.6252230050061707
-116.106993,33.157112,train,4.988664821244888E-4,49.59818417415029,0.67215354048536
-115.344086,35.639895,train,2.0427418026110707E-4,30.508176711895675,0.36659954095421066
-114.763865,36.178517,train,1.8896685810009903E-4,28.623295974446265,0.344549890664518
-118.490025,34.821037,train,5.912360430020744E-4,52.86295798955676,0.7333186849008055
-114.63048,34.54047,train,1.1453438970921401E-4,18.243071532147557,0.2258891673150012
-111.423069,32.587737,train,7.839317439946001E-5,13.664686701112933,0.1607502812031677
-115.364857,34.420314,train,2.2581569987448097E-4,32.76522559533597,0.3963786747255712
-116.299184,33.136068,train,1.6174145781270078E-4,24.913211801936928,0.30341889198342764
-112.712688,40.177168,train,3.7159940677313635E-4,42.378500832217775,0.5642584158102533
-112.753602,40.196936,train,6.328228975939597E-4,54.52525484792883,0.7569936762577284
-119.117697,35.353639,train,0.002260707189440112,81.93744931026595,0.9936148681877346
-113.885235,35.097337,train,7.569283954386773E-6,0.928189679730968,0.016778684532914756
-113.95326,32.69446,train,2.291753998882907E-4,33.1442916709694,0.40089523161159
-120.058765,35.876397,train,0.0017463365183508182,75.6121720722201,0.9798371571289186
-119.059808,35.428045,train,0.0021399727726667743,80.61391729996296,0.9916365381471949
-119.048205,35.400077,train,0.0024178835035572627,84.5074368247204,0.9955066145551335
-119.027528,35.429685,train,0.0021894216588397722,81.04724182547116,0.9925117879222382
-114.929842,33.043509,train,6.476744347811342E-4,55.09021605227668,0.7649291312746995
-119.077417,35.279174,train,0.0022812852942573005,82.39288648728242,0.9939019439940534
-119.092169,35.318298,train,0.0024116052831149367,84.26559274051982,0.9954431057820067
-119.026817,35.298607,train,0.002033162344815117,78.30686594034692,0.9893809895050826
-118.762464,35.349275,train,0.0010656011510956189,66.3831574717054,0.9076471101714526
-119.414756,35.188435,train,0.003123909189831007,93.81094831487856,0.9990729106508268
-119.126141,35.368326,train,0.002321325150088734,83.08396405569444,0.9944240571335172
-119.064365,35.356733,train,0.00213389362823443,80.39991470967901,0.9915221041230727
-119.03894,35.283343,train,0.002116260628074599,80.03162377422214,0.9911812455034642
-119.285515,38.664953,train,1.525263555884332E-5,2.1661830203712946,0.033522324979289086
-116.216816,32.98473,train,1.3601904008346007E-4,20.98329940104215,0.2621899651728108
-119.128045,35.319817,train,0.0025046048164184273,85.74627814143402,0.9962984857788977
-120.856533,36.689156,train,6.902362213809754E-4,56.59010893214993,0.7862641970380564
-119.747772,35.442012,train,0.0026028924478531637,87.27687264508609,0.9970286357451282
-119.057208,35.307184,train,0.0024607276365378626,84.7534758964525,0.9959170127835963
-118.920603,35.387432,train,0.0013406401981501453,71.0844837017616,0.950062581679778
-119.76922,35.14428,train,5.758436168227328E-4,52.4657743640552,0.7239825885428827
-116.544632,34.373307,train,1.5214941388804054E-4,23.366950133576108,0.2883208814524957
